Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record
,Beirut port explosion operational zones,"Beirut port explosion operational zones
UPDATED 9 October 2020:
Enlarged zones with UN HABITAT socio-economic classification and the 3Km priority of the Flash Appeal priority radius added.   Please see the methodology section in the metadata for further information.
UPDATED 19 August 2020:
11 operational zones numbered 129 to 139 inclusive added to the Sinn El-Fil cadastre south of the origional set.
Zones spreadsheet added.
NOTES
Users are referred to the compatible Beirut buildings footprints COD.
The standard Administrative Boundary Common Operational Dataset (COD-AB) can be found at Lebanon - Subnational Administrative Boundaries.",eng,OCHA Lebanon,?,?,,common operational dataset - cod,2020-10-09,"August 11, 2020-August 11, 2020",2020-2020,Lebanon,?,?,?,https://data.humdata.org/dataset/beirut-port-explosion-operational-zones,?,?,?,?,?,https://data.humdata.org/dataset/beirut-port-explosion-operational-zones,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Population potentially exposed to floods between 12&21 July 2020  in Bangladesh,"UNOSAT code: FL20200713BGD  This map illustrates potentially exposed population to floods (cumulative) aggregated by district using NOAA20-VIIRS in Bangladesh  between the 12th and the 21st of July 2020 and Worldpop spatial demographic data. About 34 million people were  exposed or living close to flooded areas. The most exposed districts mainly located in Sylhet, Mymensingh and Rajshahi divisions.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-08-11,"July 24, 2020-July 24, 2020",2020-2020,Bangladesh,?,?,?,https://data.humdata.org/dataset/population-potentially-exposed-to-floods-between-12-21-july-2020-in-bangladesh,?,?,?,?,?,https://data.humdata.org/dataset/population-potentially-exposed-to-floods-between-12-21-july-2020-in-bangladesh,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Satellite detected water extent as of 21 July 2020 over Northwestern region of Bangladesh,"UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters over Khulna, Rajshahi and Rangpur Division of Bangladesh of Bangladesh as observed from a Sentinel-1 image acquired on 9 July 2020 and 21 July 2020. Within the analyzed area of about 15,000 km2, a total of about 3,600 km2 of lands appear to be flooded. Based on Worldpop population data and the detected surface waters, about 2,507,000 people are potentially exposed or living close to flooded areas. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from Sentinel-1 image acquired on 9 July 2020 and 21 July 2020 may underestimate the presence of standing",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 22, 2020-July 22, 2020",2020-2020,Bangladesh,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-21-july-2020-over-northwestern-region-of-bangladesh,?,?,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-21-july-2020-over-northwestern-region-of-bangladesh,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Satellite detected water extent as of 20 July 2020 over the Northeastern region of Bangladesh,"UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters over Chittagong, Dhaka, Mymensingh and Sylhet Divisions of Bangladesh as observed from a Sentinel-1 image acquired on 20 July 2020 due to the current monsoon rains. Within the analyzed area of about 14,250 km2, a total of about 7,120 km2 of lands appear to be flooded. Based on WorldPop population data and the detected surface waters, about 6,700,000 people area potentially exposed or living close to flooded areas. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 22, 2020-July 22, 2020",2020-2020,Bangladesh,?,?,?,https://data.humdata.org/dataset/water-extent-as-of-20-july-2020-over-the-northeastern-region-of-bangladesh,?,?,?,?,?,https://data.humdata.org/dataset/water-extent-as-of-20-july-2020-over-the-northeastern-region-of-bangladesh,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Satellite detected water extent as of 19 July 2020 of Bangladesh,"UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters in the central parts of Bangladesh as observed from a Sentinel-1 image acquired on 19 July 2020 and 13 July 2020. Within the analyzed area of about 40,000 km2, a total of about 8,700 km2 of lands appear to be flooded.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from Sentinel-1 imagery acquired on 19 July 2020 and 13 July 2020 may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 21, 2020-July 21, 2020",2020-2020,Bangladesh,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-19-july-2020-of-bangladesh,?,?,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-19-july-2020-of-bangladesh,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite detected water extent as of 18 July 2020 over Eastern part of Sylhet Division, Bangladesh","UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters over the Eastern part of the Sylhet division of Bangladesh as observed from a TerraSAR-X image acquired on 18 July 2020 due to the current monsoon rains. Within the analyzed area of about 8,600 km2, a total of about 2,200 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Based on WorldPop population data and the detected surface waters, about 2,000,000 people area potentially exposed or living close to flooded areas. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 21, 2020-July 21, 2020",2020-2020,Bangladesh,?,?,?,https://data.humdata.org/dataset/water-extent-as-of-18-july-2020-over-eastern-part-of-sylhet-division-bangladesh,?,?,?,?,?,https://data.humdata.org/dataset/water-extent-as-of-18-july-2020-over-eastern-part-of-sylhet-division-bangladesh,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Satellite detected water extent as of 14 July 2020 over Province 2 of Nepal,"UNOSAT code: FL20200708NPL  This map illustrates satellite-detected surface waters in Province 2 of Nepal as observed from a Radarsat-2 image acquired on 14 July 2020 due to the current monsoon rains. Within the analyzed area of about 2,000 km2, a total of about 50 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 16, 2020-July 16, 2020",2020-2020,Nepal,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-14-july-2020-over-province-2-of-nepal,?,?,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-14-july-2020-over-province-2-of-nepal,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Satellite detected water extent as of 13 July 2020 over Province 2 of Nepal,"UNOSAT code: FL20200708NPL  This map illustrates satellite-detected surface waters in Province 2 of Nepal as observed from a Sentinel-1 image acquired on 13 July 2020 due to the current monsoon rains. Within the analyzed area of about 2,300 km2, a total of about 200 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 15, 2020-July 15, 2020",2020-2020,Nepal,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-13-july-2020-over-province-2-of-nepal,?,?,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-13-july-2020-over-province-2-of-nepal,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Satellite detected water extent as of 12 July 2020 over Province 1 and 2 of Nepal,"UNOSAT code: FL20200708NPL  This map illustrates satellite-detected surface waters in Province 1 and 2 of Nepal as observed from a Radarsat-2  image acquired on 12 July 2020 due to the current monsoon rains. Within the analyzed area of about 3,000 km2, a total of about 475 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 13, 2020-July 13, 2020",2020-2020,Nepal,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-12-july-2020-over-province-1-and-2-of-nepal,?,?,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-12-july-2020-over-province-1-and-2-of-nepal,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Satellite detected water extent as of 12 July 2020 over Province 2 of Nepal,"UNOSAT code: FL20200708NPL  This map illustrates satellite-detected surface waters in Province 2 of Nepal as observed from a TerraSAR-X image acquired on 12 July 2020 due to the current monsoon rains. Within the analyzed area of about 900 km2, a total of about 35 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT. 
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 14, 2020-July 14, 2020",2020-2020,Nepal,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-12-july-2020-over-province-2-of-nepal,?,?,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-12-july-2020-over-province-2-of-nepal,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Satellite detected water extent as of 6 July 2020 over Province 1 and 2 of Nepal,"UNOSAT code: FL20200708NPL  This map illustrates satellite-detected surface waters in Province 1 and 2 of Nepal as observed from a Sentinel-1 image acquired on 6 July 2020. Within the analyzed area of about 2,700 km2, a total of a bout 76  km2 of lands appear to be flooded.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from Sentinel-1 imagery acquired on 6 July 2020 may seriously underestimate presence of standing flood water in built up areas due to backscattering properties",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 09, 2020-July 09, 2020",2020-2020,Nepal,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-6-july-2020-over-province-1-and-2-of-nepal,?,?,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-6-july-2020-over-province-1-and-2-of-nepal,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite detected water extent as of 18 July 2020 over Mymensingh, Rajshahi and Rangpur Divisions, Bangladesh","UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters over Mymensingh, Rajshahi and Rangpur Division of Bangladesh as observed from a TerraSAR-X image acquired on 18 July 2020. Within the analyzed area of about 9,000 km2, a total of about 2,860 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please sendground feedback to UNITAR - UNOSAT. Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 20, 2020-July 20, 2020",2020-2020,Bangladesh,?,?,?,https://data.humdata.org/dataset/water-extent-as-of-18-july-2020-over-mymensingh-rajshahi-and-rangpur-divisions-bangladesh,?,?,?,?,?,https://data.humdata.org/dataset/water-extent-as-of-18-july-2020-over-mymensingh-rajshahi-and-rangpur-divisions-bangladesh,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
